wavenumber,intensity
473.498317310172,1.546018159171
474.236434000792,1.546214778165
474.974550691411,1.546411397159
475.712667382031,1.546608016152
476.450784072651,1.546804635146
477.188900763271,1.547001254140
477.927017453890,1.547197873134
478.665134144510,1.547394492127
479.403250835130,1.547733119305
480.141367525750,1.546916035985
480.879484216370,1.547304730270
481.617600906989,1.549995869076
482.355717597609,1.548798793767
483.093834288229,1.546319670383
483.831950978849,1.547439430473
484.570067669468,1.546730201020
485.308184360088,1.545924968548
486.046301050708,1.546541793725
486.784417741328,1.548691636927
487.522534431948,1.553169214085
488.260651122567,1.554343908650
488.998767813187,1.551638357752
489.736884503807,1.546662615306
490.475001194427,1.543849456235
491.213117885046,1.543644874683
491.951234575666,1.540193318901
492.689351266286,1.530122440510
493.427467956906,1.519566086312
494.165584647525,1.510743103888
494.903701338145,1.501650735319
495.641818028765,1.493609570003
496.379934719385,1.483255369712
497.118051410005,1.470986592128
497.856168100624,1.459371926541
498.594284791244,1.449396050390
499.332401481864,1.441166736312
500.070518172484,1.436562345211
500.808634863103,1.433337522288
501.546751553723,1.425595814790
502.284868244343,1.415861325570
503.022984934963,1.408964538643
503.761101625583,1.404928723148
504.499218316202,1.398701152413
505.237335006822,1.392482669631
505.975451697442,1.382479078268
506.713568388062,1.370926475082
507.451685078681,1.360209309621
508.189801769301,1.351885829960
508.927918459921,1.342260640473
509.666035150541,1.327032054685
510.404151841160,1.312831785340
511.142268531780,1.296081293215
511.880385222400,1.279459426845
512.618501913020,1.266287655289
513.356618603640,1.251556669022
514.094735294259,1.235228959412
514.832851984879,1.220899221277
515.570968675499,1.212355019953
516.309085366119,1.204378694977
517.047202056738,1.197687372235
517.785318747358,1.193109937495
518.523435437978,1.191147639637
519.261552128598,1.188045791597
519.999668819218,1.184227775588
520.737785509837,1.180908621575
521.475902200457,1.178088382313
522.214018891077,1.178858813008
522.952135581697,1.180218599272
523.690252272316,1.182373730466
524.428368962936,1.185933901148
525.166485653556,1.190118373059
525.904602344176,1.191543076915
526.642719034795,1.194270346163
527.380835725415,1.196217326239
528.118952416035,1.191821337089
528.857069106655,1.187071663386
529.595185797275,1.183239505734
530.333302487894,1.181826789365
531.071419178514,1.182608975496
531.809535869134,1.184757505048
532.547652559754,1.185392295221
533.285769250373,1.188168867546
534.023885940993,1.186871369710
534.762002631613,1.183012740942
535.500119322233,1.178187527915
536.238236012852,1.174909434019
536.976352703472,1.172824806683
537.714469394092,1.166558329214
538.452586084712,1.157692139313
539.190702775332,1.157070213484
539.928819465951,1.154548129966
540.666936156571,1.148324464633
541.405052847191,1.139616911707
542.143169537811,1.131192768048
542.881286228430,1.126009958007
543.619402919050,1.120078283205
544.357519609670,1.107902344819
545.095636300290,1.104767964945
545.833752990909,1.106218251380
546.571869681529,1.106931799052
547.309986372149,1.104598899070
548.048103062769,1.101783747532
548.786219753389,1.100821232463
549.524336444008,1.102925454537
550.262453134628,1.101333469343
551.000569825248,1.101634055105
551.738686515868,1.104555721461
552.476803206487,1.105465653559
553.214919897107,1.108437346183
553.953036587727,1.113098879945
554.691153278347,1.117548027944
555.429269968967,1.124751581771
556.167386659586,1.129121881965
556.905503350206,1.131927227099
557.643620040826,1.135850312801
558.381736731446,1.141577582637
559.119853422065,1.146991508723
559.857970112685,1.150879593977
560.596086803305,1.156116795750
561.334203493925,1.161475610896
562.072320184545,1.167376713973
562.810436875164,1.176627294378
563.548553565784,1.188450943084
564.286670256404,1.195841642648
565.024786947024,1.200194410446
565.762903637643,1.207152304409
566.501020328263,1.212707677572
567.239137018883,1.217595300741
567.977253709503,1.222261721343
568.715370400122,1.226506492436
569.453487090742,1.227117853782
570.191603781362,1.227243473643
570.929720471982,1.229998933678
571.667837162602,1.232634525004
572.405953853221,1.237856444293
573.144070543841,1.244426711392
573.882187234461,1.250546488442
574.620303925081,1.254510712547
575.358420615700,1.258962313212
576.096537306320,1.263725151385
576.834653996940,1.263863348177
577.572770687560,1.261010113432
578.310887378179,1.255443270644
579.049004068799,1.247804011109
579.787120759419,1.240868493441
580.525237450039,1.235524947545
581.263354140659,1.230236845294
582.001470831278,1.222941759360
582.739587521898,1.213466358038
583.477704212518,1.201632826800
584.215820903138,1.186610720001
584.953937593757,1.166938937350
585.692054284377,1.152642492348
586.430170974997,1.137036820144
587.168287665617,1.115933025178
587.906404356237,1.100122518362
588.644521046856,1.087476486092
589.382637737476,1.076763035746
590.120754428096,1.066960024242
590.858871118716,1.056356295545
591.596987809335,1.046090679917
592.335104499955,1.036744944129
593.073221190575,1.028666651778
593.811337881195,1.021417359288
594.549454571815,1.014057550003
595.287571262434,1.006127830483
596.025687953054,0.998127610575
596.763804643674,0.986734218400
597.501921334294,0.978763693998
598.240038024913,0.978358030536
598.978154715533,0.973861832817
599.716271406153,0.969273429060
600.454388096773,0.964892639549
601.192504787392,0.960282497677
601.930621478012,0.962010205864
602.668738168632,0.964767524464
603.406854859252,0.966865643224
604.144971549872,0.969174522410
604.883088240491,0.969203363313
605.621204931111,0.972484595463
606.359321621731,0.980687117341
607.097438312351,0.989180169814
607.835555002970,0.999853805309
608.573671693590,1.012774593799
609.311788384210,1.028301862837
610.049905074830,1.049196722686
610.788021765449,1.071425829460
611.526138456069,1.095294013469
612.264255146689,1.121978200142
613.002371837309,1.145763385697
613.740488527929,1.174359687632
614.478605218548,1.207349273843
615.216721909168,1.239651915804
615.954838599788,1.276682873934
616.692955290408,1.311090014136
617.431071981027,1.343167262870
618.169188671647,1.382416098269
618.907305362267,1.417843169022
619.645422052887,1.448784280766
620.383538743507,1.475276135627
621.121655434126,1.498143855858
621.859772124746,1.518999828913
622.597888815366,1.537903586969
623.336005505986,1.554715258751
624.074122196605,1.569481981544
624.812238887225,1.574290601323
